"id","name","createdAt","updatedAt"
1,sets,2022-10-14 10:47:29.252 +0300,2022-10-14 10:47:29.252 +0300
2,nigiri,2022-10-14 10:47:43.068 +0300,2022-10-14 10:47:43.068 +0300
3,sushi,2022-10-14 10:47:53.313 +0300,2022-10-14 10:47:53.313 +0300
4,rolls,2022-10-14 10:48:00.763 +0300,2022-10-14 10:48:00.763 +0300
5,rice,2022-10-14 10:48:08.323 +0300,2022-10-14 10:48:08.323 +0300
6,maki,2022-10-14 10:48:17.293 +0300,2022-10-14 10:48:17.293 +0300
7,uramaki,2022-10-14 10:48:29.072 +0300,2022-10-14 10:48:29.072 +0300
8,gunkans,2022-10-14 10:48:43.770 +0300,2022-10-14 10:48:43.770 +0300
9,noodles,2022-10-14 10:49:01.619 +0300,2022-10-14 10:49:01.619 +0300
